Timestamp,Page Number,CarID,UniqueURL,CarName,CarPrice,CarMileage,BuildMonth,BuildYear,Power,Usage,Transmission,Fuel
2021-06-27 17:30:56.919986,1,0,/nl/aanbod/fiat-doblo-1-3-multijet-utilitaire-diesel-wit-c65da914-335b-43e0-af69-9948a4437099,Fiat Doblo,€ 2499,220000 ,11,2008,55 ,Tweedehands,Manueel,Diesel
2021-06-27 17:30:56.928961,1,1,/nl/aanbod/hyundai-ix35-1-6i-2wd-go-1ere-pro-50-000km-carnet-2014-benzine-wit-1cdb2de9-45ad-4b8c-b827-b5fe45c0e136,Hyundai iX35,€ 11950,50000 ,10,2014,99 ,Tweedehands,Manueel,Benzine
2021-06-27 17:30:56.940928,1,2,/nl/aanbod/renault-twingo-1-2i-lev-helios-benzine-blauw-918a26cc-0f12-40f0-b944-33ab988a2f96,Renault Twingo,€ 3590,126000 ,06,2014,55 ,Tweedehands,Manueel,Benzine
2021-06-27 17:30:56.960876,1,3,/nl/aanbod/audi-a3-1-9-tdi-ambiente-diesel-wit-eaf9c1c5-5e19-165e-e053-0100007fc91e,Audi A3,€ 2400,135725 ,07,2009,77 ,Tweedehands,Manueel,Diesel
2021-06-27 17:30:56.979825,1,4,/nl/aanbod/mini-cooper-s-1-6i-benzine-brons-1f2aaf46-9331-444b-bc13-c2c80c5c6084,MINI Cooper S,€ 8500,107000 ,06,2009,128 ,Tweedehands,Manueel,Benzine
2021-06-27 17:30:56.997777,1,5,/nl/aanbod/mercedes-benz-cla-180-amg-line-navi-led-benzine-zwart-3319583a-ba64-4331-8dce-a1845cea9587,Mercedes-Benz CLA 180,€ 21400,71150 ,04,2018,90 ,Tweedehands,Manueel,Benzine
2021-06-27 17:30:57.011739,1,6,/nl/aanbod/audi-a3-1-9-tdi-diesel-wit-b5f0c1c5-8611-9e5a-e053-0100007fed2a,Audi A3,€ 2550,135725 ,05,2009,77 ,Tweedehands,Manueel,Diesel
2021-06-27 17:30:57.031334,1,7,/nl/aanbod/volkswagen-touareg-3-0-tdi-v6-bmt-tiptronic-diesel-bruin-0e55ad38-e2c1-4aea-8b98-e842fe1aa23c,Volkswagen Touareg,€ 26000,100000 ,12,2015,150 ,Tweedehands,Automatisch,Diesel
2021-06-27 17:30:57.048289,1,8,/nl/aanbod/peugeot-508-2-0-hdi-rxh-stt-etg-elektrisch-diesel-zwart-789434dd-299b-45e1-88ad-c36337ee9894,Peugeot 508,€ 6500,190000 ,06,2012,120 ,Tweedehands,Automatisch,Elektrisch/Diesel
2021-06-27 17:30:57.067237,1,9,/nl/aanbod/porsche-911-3-6i-coupe-benzine-blauw-1bdfc1c5-32bb-3054-e053-0100007fe004,Porsche 911,€ 40000,83400 ,01,2006,239 ,Tweedehands,Manueel,Benzine
